id,timestamp,cpu_percent,ram_percent,disk_read,disk_write,net_sent,net_recv
11,2025-06-14 16:55:09,5.5,91.6,64714.41552734375,51677.712890625,153.75438499450684,1418.7607889175415
10,2025-06-14 16:54:08,9.2,93.6,64674.25439453125,51648.9384765625,153.5717420578003,1418.5294828414917
9,2025-06-14 16:53:07,13.8,93.7,64642.43701171875,51632.0615234375,153.44581508636475,1418.3679113388062
8,2025-06-14 16:50:26,66.8,94.2,64522.775390625,51548.73828125,152.50420665740967,1412.0351943969727
7,2025-06-14 16:49:25,17.1,93.9,64479.74609375,51495.61572265625,152.3379306793213,1411.8941488265991
6,2025-06-14 16:48:24,18.5,92.9,64382.33984375,51424.94140625,151.45437335968018,1410.763403892517
5,2025-06-14 16:47:23,10.0,92.0,64313.20947265625,51372.44140625,151.22213077545166,1410.0167922973633
4,2025-06-14 16:46:22,9.8,90.5,64175.0078125,51318.9697265625,150.77814769744873,1409.0499019622803
3,2025-06-14 16:45:21,7.2,92.0,63950.357421875,51277.92236328125,150.60345458984375,1408.7404479980469
2,2025-06-14 16:43:40,8.6,91.9,63897.77685546875,51188.771484375,150.04673767089844,1408.3604259490967
1,2025-06-14 16:39:41,10.4,90.2,63384.810546875,51032.955078125,149.22821044921875,1407.1900539398193
